week,weekly_mileage,weekly_elevation_gain,weekly_avg_pace_min_km
167,6.808300,65.800000,6.073469
168,16.354900,146.400000,5.389822
169,9.915200,84.700000,5.103276
170,9.900500,101.600000,5.422285
171,26.894400,185.300000,5.268755
172,12.885000,71.400000,5.086017
173,31.250100,253.100000,5.147184
174,9.668800,95.400000,5.321239
175,0.000000,0.000000,
176,10.665500,130.100000,5.519354
177,5.152900,45.100000,4.987483
178,0.000000,0.000000,
179,11.674400,139.500000,5.460666
180,11.286600,149.600000,5.469613
181,0.000000,0.000000,
182,0.000000,0.000000,
183,0.000000,0.000000,
184,20.294700,109.800000,5.137630
185,9.166900,109.700000,6.763464
186,0.000000,0.000000,
187,15.337100,57.600000,5.407367
188,4.934700,18.400000,5.312717
189,9.658700,56.200000,5.523518
190,4.837700,29.900000,4.878351
191,0.000000,0.000000,
192,5.074100,36.100000,5.564205
193,5.408900,37.300000,5.059562
194,0.000000,0.000000,
195,20.782900,184.300000,5.155681
196,0.000000,0.000000,
197,15.177200,125.600000,4.993235
198,14.905400,100.100000,5.099941
199,10.875000,101.900000,5.190805
200,0.000000,0.000000,
201,0.000000,0.000000,
202,4.834400,22.200000,5.209195
203,9.825200,72.400000,5.672488
204,41.791000,368.200000,5.013839
205,61.197700,446.700000,5.222691
206,39.823800,321.700000,4.850115
207,24.883300,253.900000,4.993309
208,6.439600,24.000000,5.445473
209,46.820000,318.500000,4.946960
210,40.996800,301.400000,5.047548
211,37.671200,220.700000,5.045853
212,54.868000,432.900000,5.112573
213,54.769800,336.200000,5.115349
214,48.401500,380.700000,5.055628
215,22.714500,146.000000,4.818508
216,35.063500,253.200000,4.625893
217,0.000000,0.000000,
218,10.879500,71.600000,5.179466
219,18.066600,269.300000,5.208506
220,21.118800,225.800000,5.488001
221,0.000000,0.000000,
222,0.000000,0.000000,
223,0.000000,0.000000,
224,0.000000,0.000000,
225,0.000000,0.000000,
226,0.000000,0.000000,
227,0.000000,0.000000,
228,5.958400,8.900000,6.078254
229,4.514500,22.900000,5.467567
230,0.000000,0.000000,
231,17.874700,9.600000,5.617810
232,20.579000,184.500000,5.342015
233,17.699600,22.800000,5.325921
234,5.014400,50.000000,5.364550
235,5.149500,22.000000,6.007056
236,35.947500,219.800000,5.278068
237,36.005800,317.600000,5.206569
238,32.860200,199.500000,4.978667
239,10.654500,65.400000,5.036995
240,5.008000,27.800000,4.982029
241,5.234200,25.300000,5.164750
242,5.077600,139.700000,6.403944
243,0.000000,0.000000,
244,0.000000,0.000000,
245,0.000000,0.000000,
246,5.012300,30.400000,5.436626
247,0.000000,0.000000,
248,0.000000,0.000000,
249,0.000000,0.000000,
250,11.027500,64.500000,6.411245
251,5.556500,32.700000,6.649870
252,10.917900,97.200000,5.420762
